tr,name,sector,z,zone,f_score,m_score,m_flag,price_to_book,ev_ebitda,market_cap,as_of_date
MMM,3M Company,Industrials,4.27,Safe,5,-2.27,False,25.671356,14.689,83763707904,2026-06-19
AOS,A. O. Smith Corporation,Industrials,7.66,Safe,8,-2.5,False,4.2730274,11.009,8024382464,2026-06-19
ABT,Abbott Laboratories,Healthcare,4.51,Safe,5,-2.5,False,2.9579446,15.78,153993707520,2026-06-19
ABBV,AbbVie Inc.,Healthcare,2.07,Grey,7,-2.87,False,-57.47014,15.264,382492999680,2026-06-19
ACN,Accenture plc,Technology,3.64,Safe,5,-2.75,False,2.5211773,8.019,78763393024,2026-06-19
ADBE,Adobe Inc.,Technology,6.57,Safe,7,-2.85,False,6.760661,8.62,77576101888,2026-06-19
AMD,"Advanced Micro Devices, Inc.",Technology,38.78,Safe,7,-2.72,False,13.588135,110.19,876235849728,2026-06-19
AES,The AES Corporation,Utilities,0.45,Distress,4,-2.73,False,2.3588254,12.896,10426364928,2026-06-19
AFL,Aflac Incorporated,Financial Services,,,,,,1.9675902,11.217,58772488192,2026-06-19
A,"Agilent Technologies, Inc.",Healthcare,4.91,Safe,5,-2.46,False,5.0348706,18.85,35885801472,2026-06-19
APD,"Air Products and Chemicals, Inc.",Basic Materials,2.5,Grey,2,-2.89,False,3.9870517,21.262,62397353984,2026-06-19
ABNB,"Airbnb, Inc.",Consumer Cyclical,4.48,Safe,6,,,11.096308,28.382,84521033728,2026-06-19
AKAM,"Akamai Technologies, Inc.",Technology,2.78,Grey,5,-2.78,False,3.7036707,21.076,18160097280,2026-06-19
ALB,Albemarle Corporation,Basic Materials,2.52,Grey,5,-3.62,False,2.4823134,21.545,18910822400,2026-06-19
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,0.3,Distress,5,-2.82,False,0.55366886,13.496,8892971008,2026-06-19
ALGN,"Align Technology, Inc.",Healthcare,5.23,Safe,7,-2.52,False,3.1426156,13.379,13040229376,2026-06-19
ALLE,Allegion plc,Industrials,4.26,Safe,6,-2.5,False,5.4627624,13.364,11478454272,2026-06-19
LNT,Alliant Energy Corporation,Utilities,1.18,Distress,6,,,2.5402792,16.593,18854223872,2026-06-19
ALL,The Allstate Corporation,Financial Services,,,,,,1.9273738,4.144,56933785600,2026-06-19
GOOGL,Alphabet Inc.,Communication Services,17.5,Safe,6,,,9.313914,27.842,4490912595968,2026-06-19
GOOG,Alphabet Inc.,Communication Services,17.48,Safe,6,,,9.299489,27.68,4483957391360,2026-06-19
MO,"Altria Group, Inc.",Consumer Defensive,4.68,Safe,6,-2.36,False,-35.96254,8.762,115422887936,2026-06-19
AMZN,"Amazon.com, Inc.",Consumer Cyclical,5.6,Safe,6,-2.59,False,5.947242,17.571,2628929978368,2026-06-19
AMCR,Amcor plc,Consumer Cyclical,1.02,Distress,5,-1.64,True,1.6294475,10.724,18993162240,2026-06-19
AEE,Ameren Corporation,Utilities,0.98,Distress,6,,,2.2181172,13.586,30074597376,2026-06-19
AEP,"American Electric Power Company, Inc.",Utilities,0.98,Distress,5,,,2.183743,13.462,69476769792,2026-06-19
AXP,American Express Company,Financial Services,,,,,,6.780885,,230626344960,2026-06-19
AIG,"American International Group, Inc.",Financial Services,,,,,,0.9762595,4.746,39245860864,2026-06-19
AMT,American Tower Corporation,Real Estate,1.14,Distress,7,-2.49,False,23.290117,19.471,82020474880,2026-06-19
AWK,"American Water Works Company, Inc.",Utilities,0.95,Distress,7,,,2.2128842,14.321,24423735296,2026-06-19
AMP,"Ameriprise Financial, Inc.",Financial Services,,,,,,6.778179,,42020593664,2026-06-19
AME,"AMETEK, Inc.",Industrials,7.93,Safe,6,-2.44,False,4.9836273,22.777,54417379328,2026-06-19
AMGN,Amgen Inc.,Healthcare,1.83,Grey,7,-2.26,False,19.82617,13.773,182205513728,2026-06-19
